REF_DATE,GEO,Statistics,UOM,COORDINATE,VALUE
1998,"Saskatoon, Saskatchewan [47725]",Crime severity index,Index,32.1,179.13
1998,"Saskatoon, Saskatchewan [47725]",Violent crime severity index,Index,32.3,169.21
1998,"Saskatoon, Saskatchewan [47725]",Non-violent crime severity index,Index,32.5,182.94
1998,"Saskatoon, Saskatchewan [47725]",Youth crime severity index,Index,32.7,
1998,"Saskatoon, Saskatchewan [47725]",Youth violent crime severity index,Index,32.9,
1998,"Saskatoon, Saskatchewan [47725]",Youth non-violent crime severity index,Index,32.11,
1998,"Saskatoon, Saskatchewan [47725]",Weighted clearance rate,Number,32.13,33.68
1998,"Saskatoon, Saskatchewan [47725]",Violent weighted clearance rate,Number,32.15,40.9
1998,"Saskatoon, Saskatchewan [47725]",Non-violent weighted clearance rate,Number,32.17,31.11
1998,"Saskatoon, Saskatchewan [47725]",Percent change in non-violent weighted clearance rate,Percent,32.18,
1998,Alberta [48],Crime severity index,Index,33.1,122.5
1998,Alberta [48],Violent crime severity index,Index,33.3,98.36
1998,Alberta [48],Non-violent crime severity index,Index,33.5,131.78
1998,Alberta [48],Youth crime severity index,Index,33.7,128.14
1998,Alberta [48],Youth violent crime severity index,Index,33.9,95.14
1998,Alberta [48],Youth non-violent crime severity index,Index,33.11,153.28
1998,Alberta [48],Weighted clearance rate,Number,33.13,40.89
1998,Alberta [48],Violent weighted clearance rate,Number,33.15,61.74
1998,Alberta [48],Non-violent weighted clearance rate,Number,33.17,34.91
1998,Alberta [48],Percent change in non-violent weighted clearance rate,Percent,33.18,
1998,"Calgary, Alberta [48825]",Crime severity index,Index,34.1,116.48
1998,"Calgary, Alberta [48825]",Violent crime severity index,Index,34.3,89.44
1998,"Calgary, Alberta [48825]",Non-violent crime severity index,Index,34.5,126.87
1998,"Calgary, Alberta [48825]",Youth crime severity index,Index,34.7,
1998,"Calgary, Alberta [48825]",Youth violent crime severity index,Index,34.9,
1998,"Calgary, Alberta [48825]",Youth non-violent crime severity index,Index,34.11,
1998,"Calgary, Alberta [48825]",Weighted clearance rate,Number,34.13,31.95
1998,"Calgary, Alberta [48825]",Violent weighted clearance rate,Number,34.15,57.92
1998,"Calgary, Alberta [48825]",Non-violent weighted clearance rate,Number,34.17,24.92
1998,"Calgary, Alberta [48825]",Percent change in non-violent weighted clearance rate,Percent,34.18,
1998,"Edmonton, Alberta [48835]",Crime severity index,Index,35.1,126.76
1998,"Edmonton, Alberta [48835]",Violent crime severity index,Index,35.3,115.93
1998,"Edmonton, Alberta [48835]",Non-violent crime severity index,Index,35.5,130.93
1998,"Edmonton, Alberta [48835]",Youth crime severity index,Index,35.7,
1998,"Edmonton, Alberta [48835]",Youth violent crime severity index,Index,35.9,
1998,"Edmonton, Alberta [48835]",Youth non-violent crime severity index,Index,35.11,
1998,"Edmonton, Alberta [48835]",Weighted clearance rate,Number,35.13,37.89
1998,"Edmonton, Alberta [48835]",Violent weighted clearance rate,Number,35.15,51.8
1998,"Edmonton, Alberta [48835]",Non-violent weighted clearance rate,Number,35.17,33.15
1998,"Edmonton, Alberta [48835]",Percent change in non-violent weighted clearance rate,Percent,35.18,
1998,British Columbia [59],Crime severity index,Index,36.1,166.91
1998,British Columbia [59],Violent crime severity index,Index,36.3,132.47
1998,British Columbia [59],Non-violent crime severity index,Index,36.5,180.16
